repository,pr_number,status,files_changed,additions,deletions,analysis_time_hours,description_length,participants,comments_count,reviews_count
public-apis/public-apis,4032,closed,,,,3077.8241666666668,0,1,0,0
public-apis/public-apis,1,merged,,,,1.3275,0,1,0,0
public-apis/public-apis,6,merged,,,,1.6575,0,1,0,0
public-apis/public-apis,4042,closed,,,,2763.221111111111,0,1,0,0
public-apis/public-apis,3926,closed,,,,5299.514722222222,0,1,0,0
public-apis/public-apis,4144,closed,,,,0.11083333333333334,0,1,0,0
TheAlgorithms/Python,13392,closed,,,,0.001388888888888889,0,1,0,0
TheAlgorithms/Python,13387,closed,,,,0.2411111111111111,0,1,0,0
TheAlgorithms/Python,13389,closed,,,,0.001388888888888889,0,1,0,0
TheAlgorithms/Python,13388,closed,,,,0.0011111111111111111,0,1,0,0
TheAlgorithms/Python,13386,closed,,,,0.009722222222222222,0,1,0,0
