id,owner,Repo,Estrelas,Idade (anos),Total releases,Dias desde última atualização,Linguagem primária
441,haifengl,smile,6255,10.81,34,0,Java
442,hibernate,hibernate-orm,6233,14.95,108,0,Java
443,ityouknow,spring-cloud-examples,6226,8.38,0,0,Java
444,apache,flink-cdc,6216,5.13,22,0,Java
445,gephi,gephi,6202,13.9,19,0,Java
446,graphql-java,graphql-java,6196,10.19,93,6,Java
447,DerekYRC,mini-spring,6186,4.82,0,0,Java
448,Javen205,IJPay,6163,8.36,24,0,Java
449,jetlinks,jetlinks-community,6148,5.69,20,0,Java
450,logisim-evolution,logisim-evolution,6146,10.98,31,0,Java
451,google,grafika,6131,11.73,1,0,Java
452,ikew0ng,SwipeBackLayout,6126,12.05,0,11,Java
453,auth0,java-jwt,6124,11.52,45,0,Java
454,apache,incubator-kie-drools,6114,14.57,6,0,Java
455,nayuki,QR-Code-generator,6106,9.41,5,0,Java
456,daimajia,NumberProgressBar,6103,11.37,3,2,Java
457,rengwuxian,MaterialEditText,6102,10.87,19,0,Java
458,Vedenin,useful-java-links,6061,9.58,0,0,Java
459,alipay,SoloPi,6037,6.5,8,0,Java
460,LandGrey,SpringBootVulExploit,6030,5.31,0,0,Java
481,apache,pinot,5893,11.32,20,0,Java
482,jd-opensource,joyagent-jdgenie,5893,0.15,0,0,Java
483,journeyapps,zxing-android-embedded,5891,12.79,9,4,Java
484,WeiYe-Jing,datax-web,5885,5.81,5,0,Java
485,apache,iotdb,5881,6.8,46,0,Java
486,ZhongFuCheng3y,austin,5879,3.85,0,0,Java
487,lets-blade,blade,5878,10.26,9,13,Java
488,opengoofy,hippo4j,5876,4.24,18,0,Java
489,LaurieWired,GhidraMCP,5855,0.47,5,0,Java
490,amitshekhariitbhu,Fast-Android-Networking,5843,9.48,10,0,Java
471,liyifeng1994,ssm,5959,9.24,0,0,Java
472,btraceio,btrace,5954,11.04,33,1,Java
473,apache,camel,5947,16.32,0,0,Java
474,springfox,springfox,5941,13.36,12,0,Java
475,javaparser,javaparser,5939,13.87,55,0,Java
476,apache,hudi,5932,8.75,31,0,Java
477,prolificinteractive,material-calendarview,5928,10.59,22,2,Java
478,antoniolg,androidmvp,5924,11.45,0,11,Java
479,google,google-java-format,5918,10.34,35,0,Java
480,weibocom,motan,5896,9.4,27,1,Java
461,google,j2objc,6029,11.62,1,0,Java
462,singwhatiwanna,dynamic-load-apk,6029,11.46,0,7,Java
